feature_index,name,operator,record_source,longitude,latitude,coordinate_is_approximate,coordinate_quality,matched_area,coordinate_method,coordinate_confidence,estimated_accuracy_m,coordinate_warning,original_geometry_status,source_url
1,YASHWANT PLACE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.1635,28.5845,True,approximate_area_centroid,yashwant place,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
2,NARAINA VIHAR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.1375,28.6295,True,approximate_area_centroid,naraina vihar,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
3,SAKET,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.206,28.5245,True,approximate_area_centroid,saket,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
4,LOK NAYAK BHAWAN,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.219,28.628,True,approximate_area_centroid,lok nayak bhawan,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
5,G BLK CONNAUGHT PLACE,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.2167,28.6315,True,approximate_area_centroid,connaught place,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
6,MEENAKSHI GARADEN 112,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.102,28.641,True,approximate_area_centroid,meenakshi garden,interpreted_locality_centroid,medium,1500,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
7,NIMRI COLONY,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.176,28.682,True,approximate_area_centroid,nimri colony,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
8,MAYAPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.129,28.637,True,approximate_area_centroid,mayapuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
9,GAZIPUR,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.323,28.627,True,approximate_area_centroid,gazipur,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
10,"SANTGARH, TILAK NAGAR",Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.097,28.639,True,approximate_area_centroid,tilak nagar,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
11,BODELLA VIKASPURI,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.07,28.638,True,approximate_area_centroid,vikaspuri,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
12,BHAJANPURA A1,Delhi State Civil Supplies Corporation Limited (DSCSC),official listing,77.261,28.703,True,approximate_area_centroid,bhajanpura,named_locality_centroid,medium,1200,Approximate locality/sector centre. This is not the verified vend entrance.,not published by source,https://dscsc.delhi.gov.in/dscsc/liquor-vends
