osm_way_id,name,highway_class,footway_tag,width_m,surface,district,length_m
47290484,,pedestrian,,,,Dwarka,13
149143212,,footway,,,cobblestone,Dwarka,33
154103490,,footway,,,,Dwarka,214
154109105,,pedestrian,,,,Dwarka,142
154109106,,footway,,,,Dwarka,261
165073706,,pedestrian,,,,Dwarka,197
169848647,,footway,,,,Dwarka,153
189447942,,footway,,,asphalt,Dwarka,935
299605861,,footway,,,,West,148
299605862,,footway,,,,West,32
299605863,,footway,,,,West,118
299605864,,footway,,,,West,16
299605865,,footway,,,,West,118
299605866,,footway,,,,West,259
299605867,,footway,,,,West,86
299605868,,footway,,,,West,15
299605869,,footway,,,,West,36
408035620,,footway,,,,South-West,51
408035621,,footway,,,,South-West,20
408035623,,footway,,,,South-West,17
408821894,,footway,,,,Dwarka,423
408821896,,footway,,,,Dwarka,16
408821897,,footway,,,,Dwarka,87
408821898,,footway,,,,Dwarka,102
408821899,,footway,,,,Dwarka,280
408822674,,footway,,,,Dwarka,290
408822675,,footway,,,,Dwarka,15
408822676,,footway,,,,Dwarka,75
408822677,,footway,,,,Dwarka,56
408822678,,footway,,,,Dwarka,267
408832997,,footway,,,,Dwarka,156
408832998,,footway,,,,Dwarka,32
408833000,,footway,,,,Dwarka,32
408833002,Park,footway,,,,Dwarka,418
408833003,,footway,,,,Dwarka,178
408833004,,footway,,,,Dwarka,144
410975172,,footway,crossing,,,Dwarka,22
410975435,,footway,sidewalk,,,Dwarka,36
410975437,,footway,crossing,,,Dwarka,14
410975438,,footway,sidewalk,,,Dwarka,274
410975439,,footway,crossing,,,Dwarka,11
410975440,,footway,sidewalk,,,Dwarka,407
412000838,,footway,,,,South-West,632
412000858,,footway,,,,South-West,167
413079544,,footway,,,,South-West,213
423272983,,footway,,,,Dwarka,78
423286634,,footway,,,,Outer,56
423391657,,footway,,,,Dwarka,99
423572552,,footway,,,,West,73
532890553,,footway,,,,South-West,5
532890554,,footway,,,,South-West,45
532890556,,footway,,,,South-West,3
532895189,,footway,,,,South-West,4
532895190,,footway,,,,South-West,6
532895191,,footway,,,,South-West,7
532895197,,footway,,,,South-West,19
532895198,,footway,,,,South-West,3
532895200,,footway,,,,South-West,9
532895201,,footway,,,,South-West,69
532895202,,footway,,,,South-West,49
532898618,,footway,,,,South-West,6
532898628,,footway,,,,South-West,6
532950911,,footway,,,,South-West,4
532950912,,footway,,,,South-West,9
533187948,,footway,,,,Dwarka,1018
533187949,,footway,,,,Dwarka,7
533187950,,footway,,,,Dwarka,10
533187951,,footway,,,,Dwarka,1420
533187952,,footway,,,,Dwarka,11
533187953,,footway,,,,Dwarka,926
533187954,,footway,,,,Dwarka,1214
533187956,,footway,,,,South-West,3074
535250507,,footway,,,,South-West,5
535250509,,footway,,,,South-West,8
535250511,,footway,,,,South-West,54
535250513,,footway,,,,South-West,6
623242414,,footway,sidewalk,,,West,44
623242502,,pedestrian,,,,West,132
623242662,,footway,crossing,,,West,19
676881875,,footway,,,,Dwarka,66
707597928,,footway,,,,West,65
734769945,,footway,sidewalk,,paved,West,410
734808872,,footway,,,,Dwarka,12
735053601,,footway,,,,Dwarka,143
735053602,,footway,,,,Dwarka,134
735070460,,footway,,,,Dwarka,70
735077658,,footway,,,,South-West,65
735111395,,footway,,,,Dwarka,41
735115773,,footway,,,,West,77
735119704,,footway,,,,Dwarka,22
735119705,,footway,,,,Dwarka,74
735120965,,footway,,,,West,108
758675477,,footway,,,,Dwarka,73
951821836,,footway,,,concrete,Dwarka,118
951821838,,footway,,,,Dwarka,47
951821839,,footway,,,,Dwarka,56
951821843,,footway,,,,Dwarka,140
951821844,,footway,,,,Dwarka,37
951821845,,footway,,,,Dwarka,37
951821847,,footway,,,,Dwarka,105
951821848,,footway,,,,Dwarka,33
952148780,,footway,,,,Dwarka,42
952148781,,footway,,,,Dwarka,22
952148782,,footway,,,,Dwarka,75
952148783,,footway,,,,Dwarka,49
952148784,,footway,,,,Dwarka,29
952148785,,footway,,,,Dwarka,76
952148786,,footway,,,,Dwarka,23
952148787,,footway,,,paved,Dwarka,178
952148788,,footway,,,,Dwarka,17
952148792,,footway,,,,Dwarka,71
952148797,,footway,,,,Dwarka,4
952148798,,footway,,,,Dwarka,5
952148799,,footway,,,dirt,Dwarka,105
952148803,,footway,,,,Dwarka,46
952398083,,footway,,,,Dwarka,15
952398084,,footway,,,,Dwarka,39
952398085,,footway,,,,Dwarka,57
952398086,,footway,,,,Dwarka,49
952398087,,footway,,,,Dwarka,165
952398089,,footway,,,,Dwarka,40
952398091,,footway,,,,Dwarka,22
952398092,,footway,,,,Dwarka,15
952398093,,footway,,,,Dwarka,20
952398095,,footway,,,,Dwarka,16
952398098,,footway,,,,Dwarka,95
952398099,,footway,,,,Dwarka,12
952398100,,footway,,,,Dwarka,12
952398101,,footway,,,,Dwarka,9
952634316,,footway,,,,Dwarka,86
952791797,,footway,,,,Dwarka,12
952791798,,footway,,,,Dwarka,73
952791799,,footway,,,,Dwarka,13
977096990,,footway,,,,Dwarka,33
977096991,,footway,,,,Dwarka,22
988874389,,footway,,,paved,Dwarka,89
988874390,,footway,,,paved,Dwarka,85
989260088,,footway,,,concrete,Dwarka,133
989338596,,footway,,,,Dwarka,13
997743882,,footway,,,,Dwarka,82
997743883,,footway,,,,Dwarka,95
997743886,,footway,,,,Dwarka,86
997968134,,footway,,,,Dwarka,443
1002238086,,footway,,,,Dwarka,123
1002238088,,footway,,,,Dwarka,4
1002238089,,footway,,,,Dwarka,4
1002238091,,footway,,,,Dwarka,46
1002238092,,footway,,,,Dwarka,23
1002238094,,footway,,,,Dwarka,8
1040437650,,pedestrian,,,,Dwarka,119
1055600553,,footway,,,,West,197
1056584010,,footway,,,,Dwarka,247
1056587320,,footway,,,,Dwarka,100
1081327392,,footway,,,,Dwarka,159
1081327393,,footway,,,,Dwarka,213
1081327394,,footway,,,,Dwarka,59
1081671640,,footway,,,,West,73
1081674206,,footway,,,,West,77
1082029819,,footway,,,,South-West,2716
1082032936,,footway,,,,South-West,162
1082043236,,footway,,,,West,44
1084359490,,footway,,,,West,85
1085031930,,footway,,,,Dwarka,40
1085045203,,footway,,,,Dwarka,76
1086206304,,footway,,,,West,165
1086206305,,footway,,,,West,41
1086206306,,footway,,,,West,87
1086206307,,footway,,,,West,170
1086206308,,footway,,,,West,90
1086206309,,footway,,,,West,227
1086206310,,footway,,,,West,61
1086206311,,footway,,,,West,36
1086206312,,footway,,,,West,30
1086206313,,footway,,,,West,12
1117119510,,footway,,,,Dwarka,144
1119893209,,pedestrian,,,,Dwarka,177
1120516826,,footway,,,,West,20
1120516827,,footway,,,,West,18
