ward,ward_no,area_sq_km,mapped_pct,residential_km2,residential_pct,commercial_km2,commercial_pct,industrial_km2,industrial_pct,institutional_km2,institutional_pct,green_open_km2,green_open_pct,other_km2,other_pct
DELHI CANTT CHARGE 1,CANT_1,1.276,76.1,0,0,0,0,0,0,0,0,0,0,0.971,76.1
DELHI CANTT CHARGE 2,CANT_2,8.77,96.3,0.298,3.4,0.003,0,0.04,0.5,0,0,0.116,1.3,7.992,91.1
DELHI CANTT CHARGE 4,CANT_4,8.392,68,0.016,0.2,0.189,2.3,0.174,2.1,0.01,0.1,0.074,0.9,5.243,62.5
DELHI CANTT CHARGE 5,CANT_5,3.497,89.1,0.127,3.6,0,0,0.187,5.4,0,0,0.142,4.1,2.659,76
DELHI CANTT CHARGE 6,CANT_6,15.265,60.2,0.082,0.5,0.028,0.2,0.019,0.1,0,0,2.618,17.1,6.441,42.2
DELHI CANTT CHARGE 7,CANT_7,3.89,97,0.468,12,0,0,0,0,0.015,0.4,0.003,0.1,3.287,84.5
DELHI CANTT CHARGE 8,CANT_8,1.755,102.5,0.616,35.1,0,0,0.013,0.7,0,0,0.039,2.2,1.131,64.5
DELHI CANTT CHARGE 3,CANT_3,5.09,90.5,0.304,6,0,0,0,0,0,0,0.366,7.2,3.935,77.3
NDMC CHARGE 1,NDMC_1,3.947,44.9,0.514,13,0.987,25,0.058,1.5,0.017,0.4,0.17,4.3,0.025,0.6
NDMC CHARGE 2,NDMC_2,1.842,16.5,0.119,6.4,0.088,4.8,0.097,5.2,0,0,0.001,0.1,0,0
NDMC CHARGE 3,NDMC_3,8.992,3.5,0.013,0.1,0.002,0,0.024,0.3,0.005,0.1,0.223,2.5,0.052,0.6
NDMC CHARGE 4,NDMC_4,4.381,64.3,1.012,23.1,1.334,30.4,0.172,3.9,0.066,1.5,0.231,5.3,0,0
NDMC CHARGE 5,NDMC_5,7.974,61.7,3.941,49.4,0.58,7.3,0.098,1.2,0.015,0.2,0.242,3,0.047,0.6
NDMC CHARGE 7,NDMC_7,3.03,37.9,0.394,13,0.166,5.5,0.156,5.1,0.429,14.1,0.004,0.1,0,0
NDMC CHARGE 8,NDMC_8,1.083,47.4,0,0,0.055,5.1,0.458,42.3,0,0,0,0,0,0
NDMC CHARGE 9,NDMC_9,11.026,32.6,1.291,11.7,0.108,1,0.465,4.2,1.087,9.9,0.316,2.9,0.329,3
NDMC CHARGE 6,NDMC_6,1.357,34.1,0.397,29.2,0.022,1.6,0,0,0.012,0.9,0.032,2.3,0,0
CHANDNI CHOWK,80,2.617,11.7,0.221,8.5,0.077,2.9,0,0,0,0,0.009,0.3,0,0
MINTO ROAD,81,2.53,35.4,0.183,7.2,0.204,8.1,0.067,2.6,0.442,17.5,0,0,0,0
KUCHA PANDIT,82,0.339,98.2,0.332,97.9,0.001,0.2,0,0,0,0,0,0,0,0
BAZAR SITARAM,83,0.358,99.8,0.357,99.8,0,0,0,0,0,0,0,0,0,0
IDGAH ROAD,85,0.775,20.6,0.16,20.6,0,0,0,0,0,0,0,0,0,0
KHYALA,108,1.423,0,0,0,0,0,0,0,0,0,0,0,0,0
JANAK PURI NORTH,109,2.939,32.4,0.846,28.8,0.057,1.9,0.014,0.5,0.022,0.7,0.014,0.5,0,0
MUKHERJEE NAGAR,11,2.587,14.4,0.265,10.2,0.026,1,0.009,0.4,0,0,0.042,1.6,0.03,1.1
JANAK PURI WEST,117,2.279,62.5,1.307,57.3,0.117,5.1,0,0,0,0,0.001,0,0,0
JANAK PURI SOUTH,118,2.173,31.7,0.525,24.2,0.079,3.6,0.041,1.9,0.042,1.9,0.001,0,0,0
MILAP NAGAR,119,1.491,16.2,0.241,16.1,0,0,0,0,0,0,0,0,0,0
SITA PURI,120,0.781,0.5,0.003,0.4,0,0,0,0,0.001,0.1,0,0,0,0
CHHAWLA,133,78.026,11.3,0.323,0.4,0.047,0.1,0.149,0.2,0,0,7.437,9.5,0.89,1.1
NANGLI SAKRAVATI,134,22.09,27.1,0.231,1,0,0,0.001,0,0.017,0.1,5.711,25.9,0.02,0.1
KAKRAULA,135,9.8,27.4,1.882,19.2,0.411,4.2,0.078,0.8,0.272,2.8,0.038,0.4,0,0
KHERA,140,77.159,21.7,0.911,1.2,0,0,0.051,0.1,0,0,14.855,19.3,0.89,1.2
DILSHAD GARDEN,241,2.153,47.4,0.322,14.9,0,0,0,0,0.694,32.2,0.005,0.2,0,0
NEW SEEMA PURI,242,0.965,6.9,0,0,0.001,0.1,0.032,3.3,0,0,0.033,3.5,0,0
NAND NAGRI,243,0.619,2.9,0,0,0,0,0.018,2.9,0,0,0,0,0,0
SUNDER NAGARI,244,1.055,6,0,0,0,0,0,0,0,0,0.063,6,0,0
DURGA PURI,245,0.914,0,0,0,0,0,0,0,0,0,0,0,0,0
ASHOK NAGAR,246,0.941,8.9,0.084,8.9,0,0,0,0,0,0,0,0,0,0
RAM NAGAR,247,1.641,9.6,0.057,3.5,0,0,0.068,4.2,0.032,1.9,0,0,0,0
WELCOME COLONY,248,1.208,1.4,0,0,0,0,0,0,0,0,0.016,1.4,0,0
CHAUHAN BANGER,249,0.588,0,0,0,0,0,0,0,0,0,0,0,0,0
ZAFFRABAD,250,0.405,0,0,0,0,0,0,0,0,0,0,0,0,0
MAUJPUR,252,0.754,0,0,0,0,0,0,0,0,0,0,0,0,0
GHONDA,255,0.781,0,0,0,0,0,0,0,0,0,0,0,0,0
YAMUNA VIHAR,256,1.332,1.9,0,0,0,0,0,0,0.025,1.9,0,0,0,0
SUBHASH MOHALLA,257,0.577,0,0,0,0,0,0,0,0,0,0,0,0,0
KARDAM PURI,258,1.474,0.1,0,0,0.002,0.1,0,0,0,0,0,0,0,0
JANTA COLONY,259,0.616,1.8,0,0,0,0,0,0,0,0,0.011,1.8,0,0
BABAR PUR,260,0.711,0,0,0,0,0,0,0,0,0,0,0,0,0
JIWANPUR,261,1.652,8.6,0,0,0,0,0.143,8.6,0,0,0,0,0,0
GOKALPUR,262,1.185,0,0,0,0,0,0,0,0,0,0,0,0,0
SABOLI,263,1.845,0,0,0,0,0,0,0,0,0,0,0,0,0
HARSH VIHAR,264,2.538,0,0.001,0,0,0,0,0,0,0,0,0,0,0
SHIV VIHAR,265,1.742,0,0,0,0,0,0,0,0,0,0,0,0,0
KARAWAL NAGAR EAST,266,1.255,0,0,0,0,0,0,0,0,0,0,0,0,0
MUSTAFABAD,268,1.29,0,0,0,0,0,0,0,0,0,0,0,0,0
KHAJOORI KHAS,269,1.127,0,0,0,0,0,0,0,0,0,0,0,0,0
KARAWAL NAGAR WEST,271,2.086,0,0,0,0,0,0,0,0,0,0,0,0,0
SONIA VIHAR,272,6.785,1.5,0,0,0,0,0.026,0.4,0,0,0,0,0.073,1.1
NIZAMUDDIN,154,7.401,17.5,0.31,4.2,0.506,6.8,0.359,4.9,0.048,0.6,0.07,0.9,0.001,0
BHOGAL,156,1.351,38.2,0.5,37,0.008,0.6,0,0,0.009,0.6,0,0,0,0
KASTURBA NAGAR,157,3.036,26.7,0.506,16.7,0.04,1.3,0.227,7.5,0.004,0.1,0.033,1.1,0,0
AMAR COLONY,160,1.794,2.1,0.003,0.2,0.025,1.4,0,0,0,0,0.009,0.5,0,0
MALVIYA NAGAR,161,5.561,12.4,0.379,6.8,0.004,0.1,0.002,0,0.277,5,0.028,0.5,0,0
HAUZ RANI,162,1.032,1.3,0,0,0.01,1,0,0,0.002,0.2,0.001,0.1,0,0
ANDREWSGANJ,159,3.387,3,0.014,0.4,0.06,1.8,0,0,0.014,0.4,0.015,0.5,0,0
VASANT VIHAR,165,5.741,28.2,0.354,6.2,0.076,1.3,0.018,0.3,0.001,0,0.007,0.1,1.162,20.2
MUNIRKA,166,1.213,18.3,0.194,15.9,0.027,2.3,0,0,0,0,0.002,0.1,0,0
NANAK PURA,168,3.209,15.5,0.057,1.8,0,0,0,0,0.288,9,0.009,0.3,0.144,4.5
VASANTKUNJ,171,5.708,14.7,0.105,1.8,0.231,4,0,0,0.484,8.5,0.017,0.3,0,0
DAKSHINPURI EXT.,180,1.409,55.5,0,0,0,0,0.045,3.2,0,0,0.737,52.3,0,0
KHANPUR,181,3.504,0.5,0,0,0.007,0.2,0.011,0.3,0,0,0,0,0,0
AMBEDKAR NAGAR,182,0.497,5.5,0,0,0,0,0,0,0,0,0,0,0.027,5.5
MADANGIR,183,0.494,0,0,0,0,0,0,0,0,0,0,0,0,0
PUSHP VIHAR,184,1.819,5,0.015,0.8,0.025,1.4,0,0,0.051,2.8,0,0,0,0
TUGHLAKABAD EXTN,185,2.76,47.9,0,0,0,0,0,0,0.376,13.6,0.554,20.1,0.393,14.2
SANGAM VIHAR CENTRAL,187,1.704,0.4,0,0,0,0,0.007,0.4,0,0,0,0,0,0
SANGAM VIHAR EAST,188,4.402,11.4,0.025,0.6,0,0,0,0,0,0,0.015,0.3,0.461,10.5
CHIRAG DELHI,189,2.31,18.7,0.008,0.4,0.035,1.5,0,0,0,0,0.388,16.8,0,0
CHITRANJAN PARK,190,2.282,15.8,0.189,8.3,0.056,2.5,0,0,0.017,0.8,0.097,4.2,0,0
SHAPUR JAT,191,4.391,7.6,0.238,5.4,0.042,1,0,0,0.032,0.7,0.021,0.5,0,0
GREATER KAILASH-I,192,3.741,10.2,0.238,6.4,0.089,2.4,0.004,0.1,0.034,0.9,0.018,0.5,0,0
SRI NIWASPURI,193,4.331,26.7,0.086,2,0.077,1.8,0.991,22.9,0.003,0.1,0,0,0,0
EAST OF KAILASH,194,2.777,21.4,0,0,0.244,8.8,0.003,0.1,0.158,5.7,0.184,6.6,0.004,0.1
GOVIND PURI,195,0.524,50.2,0.175,33.3,0.068,13,0,0,0,0,0.02,3.9,0,0
KALKAJI,196,1.228,9.3,0.07,5.7,0.041,3.4,0,0,0,0,0.003,0.3,0,0
TUGHLAKABAD,197,6.587,22.4,0.475,7.2,0.046,0.7,0.949,14.4,0,0,0.008,0.1,0,0
PUL PEHLAD,198,2.97,4,0.101,3.4,0,0,0.018,0.6,0,0,0.001,0,0,0
TEKHAND,199,4.174,0.4,0.004,0.1,0.003,0.1,0.004,0.1,0.006,0.1,0,0,0,0
HARKESH NAGAR,200,2.293,25.6,0,0,0.031,1.4,0.256,11.2,0.222,9.7,0.078,3.4,0,0
JAITPUR,201,3.669,21.8,0.731,19.9,0,0,0.07,1.9,0,0,0,0,0,0
MEETHEYPUR,202,2.712,0,0,0,0,0,0,0,0,0,0,0,0,0
BADAR PUR,203,2.462,31.7,0.019,0.8,0,0,0.761,30.9,0,0,0,0,0,0
MOLARBAND,204,1.445,13.7,0,0,0,0,0.198,13.7,0,0,0,0,0,0
OKHLA,206,3.7,24.6,0.095,2.6,0,0,0.793,21.4,0,0,0.023,0.6,0,0
TURKMAN GATE,84,0.239,100,0.239,100,0,0,0,0,0,0,0,0,0,0
BALLIMARAN,86,0.531,98.5,0.523,98.5,0,0,0,0,0,0,0,0,0,0
RAM NAGAR,87,0.425,0,0,0,0,0,0,0,0,0,0,0,0,0
QASABPURA,88,0.752,5.2,0.012,1.6,0,0,0.023,3.1,0.004,0.5,0.001,0.1,0,0
PAHAR GANJ,89,1.038,3.9,0,0,0,0,0,0,0,0,0.04,3.9,0,0
SADH NAGAR,146,0.806,0,0,0,0,0,0,0,0,0,0,0,0,0
PUSA,150,9.517,26.8,0.323,3.4,0.148,1.6,0,0,0.01,0.1,1.982,20.8,0.087,0.9
INDER PURI,151,1.107,7,0,0,0,0,0,0,0,0,0,0,0.078,7
NARAINA,152,1.886,5.8,0.001,0.1,0.017,0.9,0,0,0,0,0,0,0.092,4.9
DEOLI,173,10.396,6.6,0.579,5.6,0.015,0.1,0.008,0.1,0,0,0.038,0.4,0.05,0.5
CHHATARPUR,174,13.107,15.5,1.022,7.8,0.855,6.5,0.053,0.4,0.027,0.2,0.074,0.6,0.001,0
AYA NAGAR,175,31.951,26.1,0.9,2.8,0,0,0.016,0,0.023,0.1,6.797,21.3,0.61,1.9
BHATI,176,46.567,6.9,2.431,5.2,0.016,0,0.224,0.5,0.484,1,0,0,0.04,0.1
MADANPUR KHADAR,207,8.227,23.7,0.589,7.2,0,0,1.357,16.5,0,0,0,0,0,0
SARITA VIHAR,208,7.363,21.4,0.6,8.2,0.126,1.7,0.798,10.8,0,0,0.048,0.7,0,0
GHONDLI,231,1.019,0,0,0,0,0,0,0,0,0,0,0,0,0
ANARKALI,232,0.871,0.5,0.004,0.5,0,0,0,0,0,0,0,0,0,0
GANDHI NAGAR,234,0.991,22.3,0,0,0,0,0,0,0,0,0.221,22.3,0,0
AZAD NAGAR,235,0.882,0,0,0,0,0,0,0,0,0,0,0,0,0
RAGHUBAR PURA,236,1.303,0.1,0,0,0,0,0.001,0.1,0,0,0,0,0,0
SHAHDARA,237,0.881,0.4,0,0,0,0,0.004,0.4,0,0,0,0,0,0
JHILMIL,238,1.214,1.1,0.003,0.3,0,0,0.006,0.5,0,0,0.004,0.4,0,0
VIVEK VIHAR,239,2.411,6.7,0.158,6.5,0.004,0.2,0,0,0,0,0,0,0,0
DILSHAD COLONY,240,0.965,0,0,0,0,0,0,0,0,0,0,0,0,0
PUNJABI BAGH,103,3.136,2.5,0.074,2.4,0,0,0,0,0.005,0.2,0,0,0,0
NEW RANJIT NAGAR,96,0.836,2.3,0,0,0.019,2.2,0,0,0,0,0.001,0.1,0,0
KIRTI NAGAR,97,3.384,4.6,0,0,0.051,1.5,0.1,3,0,0,0,0,0.004,0.1
MANSAROWER GARDEN,98,1.604,0.2,0,0,0,0,0,0,0.003,0.2,0,0,0,0
HASTSAL,122,9.854,9.9,0.879,8.9,0,0,0,0,0.003,0,0,0,0.098,1
SANGAM PARK,71,1.057,6.1,0.064,6.1,0,0,0,0,0,0,0,0,0,0
MODEL TOWN,72,2.816,0.9,0,0,0.025,0.9,0,0,0,0,0,0,0,0
KAMLA NAGAR,69,2.419,41.9,0.801,33.1,0.012,0.5,0.145,6,0.056,2.3,0,0,0,0
INDER LOK COLONY,74,2.493,2.7,0,0,0.005,0.2,0.063,2.5,0,0,0,0,0,0
KISHAN GANJ,75,1.226,15.1,0,0,0.002,0.2,0.183,14.9,0,0,0,0,0,0
DEPUTY GANJ,76,1.074,9.5,0,0,0.08,7.5,0.022,2,0,0,0,0,0,0
KASHMERE GATE,77,3.461,19.6,0,0,0.163,4.7,0.306,8.8,0.063,1.8,0.147,4.2,0,0
MAJNU KA TILA,78,3.665,6.8,0.144,3.9,0.002,0.1,0,0,0.01,0.3,0.093,2.5,0,0
JAMA MASJID,79,0.776,74.4,0.514,66.3,0.026,3.4,0,0,0.036,4.7,0,0,0,0
TILAK NAGAR,114,1.533,9.7,0.144,9.4,0.006,0.4,0,0,0,0,0,0,0,0
MAJOR BHUPINDAR SINGH NAGAR,115,0.978,8.7,0.066,6.8,0,0,0.019,1.9,0,0,0,0,0,0
VIKASPURI EAST,116,2.655,27.5,0.718,27,0.008,0.3,0,0,0.006,0.2,0,0,0,0
MOHAN GARDEN,125,1.778,1.5,0.027,1.5,0,0,0,0,0,0,0,0,0,0
NAWADA,126,0.859,3.8,0.032,3.7,0,0.1,0,0,0,0,0,0,0,0
UTTAM NAGAR,127,0.813,16.3,0.076,9.3,0.009,1.2,0,0,0,0,0.047,5.8,0,0
BINDAPUR,128,1.95,0.6,0.011,0.6,0,0,0,0,0,0,0,0,0,0
DABRI,129,1.425,73.5,1.038,72.8,0,0,0,0,0.004,0.3,0.005,0.4,0,0
MATIALA,136,12.188,40.4,3.243,26.6,0.221,1.8,1.136,9.3,0.115,0.9,0.206,1.7,0,0
ROSHANPURA,137,10.702,15.4,0.395,3.7,0.026,0.2,0.843,7.9,0.093,0.9,0.275,2.6,0.019,0.2
MAYUR VIHAR PHASE-I,209,1.662,23.8,0.095,5.7,0.01,0.6,0.244,14.7,0,0,0.046,2.8,0,0
ROHINI,21,4.843,35.9,1.154,23.8,0.095,2,0.05,1,0.019,0.4,0.387,8,0.034,0.7
DALLOPURA,210,0.916,0.2,0.001,0.2,0,0,0,0,0,0,0,0,0,0
TRILOK PURI,211,3.64,67.9,0.054,1.5,0,0,0,0,0,0,2.419,66.4,0,0
NEW ASHOK NAGAR,212,1.641,22,0.193,11.8,0,0,0.003,0.2,0,0,0.001,0,0.164,10
KALYAN PURI,213,0.456,0,0,0,0,0,0,0,0,0,0,0,0,0
KHICHRIPUR,214,4.575,23.2,0.335,7.3,0.149,3.3,0.431,9.4,0.017,0.4,0.032,0.7,0.098,2.1
KONDLI,215,1.567,2,0,0,0,0,0,0,0,0,0,0,0.031,2
GHAROLI,216,2.04,4.2,0,0,0,0,0.045,2.2,0,0,0,0,0.04,2
VINOD NAGAR,217,0.897,33.9,0.225,25.1,0,0,0.076,8.5,0,0,0.003,0.3,0,0
ASHOK VIHAR,68,2.038,39.3,0.73,35.8,0.07,3.5,0,0,0,0,0,0,0,0
WAJIRPUR,67,1.914,29.7,0.512,26.7,0.003,0.1,0.055,2.9,0,0,0,0,0,0
SAWAN PARK,66,2.357,52.8,1.215,51.5,0.009,0.4,0.017,0.7,0,0,0.005,0.2,0,0
NIMRI COLONY,65,1.264,54.9,0.636,50.3,0.059,4.7,0,0,0,0,0,0,0,0
SHAKUR PUR,64,1.019,60.1,0.245,24,0.239,23.5,0.074,7.3,0,0,0.054,5.3,0,0
KOHAT ENCLAVE,63,2.045,76.6,1.567,76.6,0,0,0,0,0,0,0,0,0,0
RAMPURA,62,2.509,46.5,0.403,16.1,0.098,3.9,0.635,25.3,0,0,0.033,1.3,0,0
TRI NAGAR,61,0.954,0,0,0,0,0,0,0,0,0,0,0,0,0
SARASWATI VIHAR,60,3.988,88.4,2.338,58.6,0.004,0.1,1.178,29.5,0.006,0.1,0,0,0,0
RANI BAGH,59,3.336,63.7,0.731,21.9,0,0,1.393,41.8,0,0,0,0,0,0
PASCHIM VIHAR NORTH,58,2.159,53.1,1.019,47.2,0.019,0.9,0.071,3.3,0.038,1.8,0,0,0,0
PASCHIM VIHAR SOUTH,57,2.964,52.8,1.403,47.3,0.079,2.7,0.031,1,0.014,0.5,0.038,1.3,0,0
SHALIMAR BAGH SOUTH,56,2.148,55.5,1.108,51.6,0.004,0.2,0,0,0.008,0.4,0.072,3.3,0,0
SHALIMAR BAGH NORTH,55,2.229,42,0.795,35.7,0.041,1.8,0.065,2.9,0,0,0.036,1.6,0,0
PITAMPUR NORTH,54,2.476,40.4,0.696,28.1,0.048,1.9,0,0,0.017,0.7,0.238,9.6,0,0
PITAMPURA SOUTH,53,2.385,69.9,1.601,67.1,0.059,2.5,0,0,0,0,0.006,0.2,0,0
NAHARPUR,52,1.211,102.4,1.194,98.6,0.046,3.8,0,0,0,0,0,0,0,0
ROHINI EAST,51,2.266,118.4,2.635,116.3,0.047,2.1,0,0,0.001,0,0,0,0,0
ROHINI CENTRAL,50,3.03,97,2.295,75.7,0.276,9.1,0,0,0,0,0.367,12.1,0,0
MANGOLPURI  WEST,48,1.461,39,0.229,15.7,0,0,0.341,23.3,0,0,0,0,0,0
MANGOLPURI  EAST,46,0.892,24.8,0.055,6.2,0,0,0.166,18.6,0,0,0,0,0,0
ROHINI SOUTH,45,2.177,85.1,1.809,83.1,0,0,0.044,2,0,0,0,0,0,0
QUAMMRUDDIN NAGAR,44,5.642,6.7,0.048,0.8,0,0,0.328,5.8,0,0,0,0,0,0
NANGLOI EAST,43,2.444,7.1,0,0,0,0,0.175,7.1,0,0,0,0,0,0
PERAGHARHI,42,1.875,45.6,0.764,40.7,0.005,0.3,0,0,0,0,0.085,4.6,0,0
GURU HARKISHAN NAGAR,41,2.779,67.8,1.653,59.5,0.138,5,0.063,2.3,0.03,1.1,0,0,0,0
SULTANPURI  SOUTH,40,0.856,25.3,0.217,25.3,0,0,0,0,0,0,0,0,0,0
SULTANPURI  EAST,37,0.815,0,0,0,0,0,0,0,0,0,0,0,0,0
KIRARI SULEMAN NAGAR,35,2.982,1.8,0.04,1.3,0,0,0,0,0,0,0,0,0.013,0.4
KARALA,29,37.788,1.2,0.217,0.6,0,0,0.003,0,0,0,0,0,0.233,0.6
BEGUMPUR,27,46.619,2.5,0.691,1.5,0,0,0.048,0.1,0,0,0.355,0.8,0.085,0.2
POOTH KALAN,25,8.478,57.8,4.724,55.7,0.006,0.1,0,0,0.047,0.6,0.06,0.7,0.066,0.8
VIJAY VIHAR,24,2.095,59.5,1.247,59.5,0,0,0,0,0,0,0,0,0,0
GEETA COLONY,230,1.255,3,0.035,2.8,0,0,0,0,0,0,0.003,0.2,0,0
KRISHNA  NAGAR,229,2.046,12.4,0.006,0.3,0,0,0,0,0,0,0.112,5.5,0.135,6.6
PREET VIHAR,228,3.5,11,0.282,8.1,0.043,1.2,0.058,1.6,0,0,0,0,0,0
I.P EXTENTION,227,4.532,28.9,0.52,11.5,0.051,1.1,0.616,13.6,0.061,1.3,0.014,0.3,0.051,1.1
ANAND VIHAR,225,4.404,8.9,0.138,3.1,0.026,0.6,0.072,1.6,0.153,3.5,0.005,0.1,0,0
,,37.15,35.6,0.114,0.3,0,0,1.198,3.2,0.06,0.2,6.607,17.8,5.244,14.1
SHAKARPUR,223,1.153,11.9,0.013,1.2,0,0,0.123,10.7,0,0,0,0,0,0
LAXMI NAGAR,222,0.919,0,0,0,0,0,0,0,0,0,0,0,0,0
RITHALA,22,2.086,82.3,1.501,72,0.142,6.8,0.02,1,0,0,0.053,2.5,0,0
MAYUR VIHAR PHASE II,219,2.335,71.5,1.472,63,0.025,1.1,0.162,6.9,0.011,0.5,0,0,0,0
MANDAWALI,218,0.905,14.3,0.13,14.3,0,0,0,0,0,0,0,0,0,0
KARAM PURA,100,2.246,24.9,0.296,13.2,0.094,4.2,0.158,7,0.011,0.5,0,0,0,0
MAHAVIR ENCLAVE,147,2.322,28.5,0.651,28.1,0,0,0,0,0.009,0.4,0.003,0.1,0,0
SAGARPUR,131,0.655,1.3,0.008,1.3,0,0,0,0,0,0,0,0,0,0
SAGARPUR WEST,132,0.631,14.3,0.09,14.3,0,0,0,0,0,0,0,0,0,0
MUNDAKA,30,53.09,21.2,1.392,2.6,0,0,7.182,13.5,0.025,0,2.116,4,0.528,1
EAST PATEL NAGAR,95,2.379,6.1,0.057,2.4,0.087,3.7,0,0,0,0,0.001,0,0,0
WEST PATEL NAGAR,94,1.061,20,0,0,0,0,0.212,20,0,0,0,0,0,0
DEV NAGAR,92,0.756,33.4,0.244,32.3,0,0,0,0,0.009,1.2,0,0,0,0
KAROL BAGH,91,2.285,75.7,1.543,67.5,0.007,0.3,0.169,7.4,0.012,0.5,0,0,0,0
MODEL BASTI,90,1.459,12.3,0.101,6.9,0.013,0.9,0.04,2.7,0.025,1.7,0,0,0,0
RANA PRATAP BAGH,70,1.373,17.8,0.235,17.1,0,0,0,0,0.009,0.7,0,0,0,0
BAKHTAWAR PUR,4,54.009,19.9,2.281,4.2,0,0,3.649,6.8,0.172,0.3,4.63,8.6,0.023,0
ALIPUR,3,49.08,32.8,3.981,8.1,0,0,5.618,11.4,0.055,0.1,6.459,13.2,0,0
SAHIBABAD DAULAT PUR,26,13.218,27.7,2.501,18.9,0,0,0.603,4.6,0,0,0.461,3.5,0.091,0.7
BANKNER,2,21.158,11.8,0.605,2.9,0,0,0.525,2.5,0,0,1.37,6.5,0,0
MALKAGANJ,9,0.993,20.9,0.2,20.2,0.001,0.1,0,0,0,0,0.007,0.7,0,0
JHARODA,8,12.511,35.4,2.036,16.3,0,0,0.028,0.2,0,0,2.357,18.8,0.012,0.1
MUKUND PUR,6,5.547,4,0.153,2.8,0.004,0.1,0,0,0.003,0,0.04,0.7,0.021,0.4
