rank,name,road,simple,fatal,total,lat,lng,x,y,district,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
1,ISBT Kashmiri Gate,Ring Road,12,7,19,28.6679,77.2284,713.1,406.8,North,2023,true,true,4,6,10,false,,,,false,,,,true,4,4,8,false,,,,true,6,5,11,7,12,1,ISBT Kashmiri Gate,7,12,19,28.6679,77.2284,mapped/project geocode,
2,Mukarba Chowk,GTK Road,11,7,18,28.7373,77.1598,605,282.2,Outer North,2023,true,true,1,4,5,true,8,3,11,false,,,,true,5,3,8,true,5,3,8,true,6,4,10,7,17,2,Mukarba Chowk,7,11,18,28.7373,77.1598,mapped/project geocode,
3,Libaspur Bus Stand,GTK Road,11,7,18,28.742,77.153,594.2,273.7,Outer North,2023,true,true,4,4,8,false,,,,true,3,2,5,true,4,4,8,false,,,,true,4,7,11,7,16,3,Libaspur Bus Stand,7,11,18,28.742,77.153,mapped/project geocode,
4,Boulevard Road,Kashmiri Gate Area,12,6,18,28.6651,77.221,701.4,411.8,North,2023,false,true,10,5,15,false,,,,false,,,,false,,,,true,9,2,11,true,3,4,7,6,14,4,Boulevard Road,6,12,18,28.6651,77.221,mapped/project geocode,
5,Britannia Chowk,Ring Road,9,6,15,28.6946,77.1396,573.1,358.9,North-West,2023,true,true,5,3,8,false,,,,false,,,,true,3,4,7,true,5,4,9,false,,,,6,10,5,Britannia Chowk,6,9,15,28.6946,77.1396,mapped/project geocode,
6,Burari Chowk,Outer Ring Road,8,6,14,28.74,77.195,660.4,277.3,North,2023,true,true,0,3,3,true,4,3,7,false,,,,true,1,3,4,true,3,3,6,true,5,3,8,7,17,6,Burari Chowk,6,8,14,28.74,77.195,mapped/project geocode,
7,Bhalswa Chowk,Outer Ring Road,5,6,11,28.736,77.17,621,284.5,North-West,2023,true,true,1,4,5,false,,,,false,,,,true,2,3,5,false,,,,true,2,4,6,6,5,7,Bhalswa Chowk,6,5,11,28.736,77.17,mapped/project geocode,
8,Wazir Pur Depot,Ring Road,4,6,10,28.693,77.152,592.7,361.7,North-West,2023,true,false,,,,true,4,4,8,false,,,,true,1,3,4,true,2,3,5,true,2,3,5,6,6,8,Wazir Pur Depot,6,4,10,28.693,77.152,mapped/project geocode,
9,Round About Mori Gate,Hamilton Road,2,6,8,28.6635,77.2215,702.2,414.7,North,2023,true,true,2,4,6,false,,,,false,,,,true,0,5,5,false,,,,true,1,5,6,6,3,9,Round About Mori Gate,6,2,8,28.6635,77.2215,mapped/project geocode,
10,Gandhi Vihar Bus Stand,Outer Ring Road,11,5,16,28.718,77.206,677.8,316.8,North-West,2023,false,false,,,,true,5,3,8,false,,,,false,,,,true,6,3,9,false,,,,5,13,10,Gandhi Vihar Bus Stand,5,11,16,28.718,77.206,mapped/project geocode,
11,Anand Vihar ISBT,Road No. 56,11,5,16,28.6465,77.316,851.1,445.2,East,2023,true,true,7,5,12,false,,,,false,,,,true,1,3,4,false,,,,true,4,4,8,,,11,Anand Vihar ISBT,5,11,16,28.6465,77.316,mapped/project geocode,
12,Okhla Mandi,Captain Gaur Marg,6,5,11,28.553,77.264,769.2,613.1,South-East,2023,false,true,5,3,8,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,12,Okhla Mandi,5,6,11,28.553,77.264,mapped/project geocode,
13,SGT Nagar,GTK Road,6,5,11,28.745,77.15,589.5,268.4,Outer North,2023,false,false,,,,true,3,4,7,false,,,,false,,,,false,,,,true,4,3,7,,,13,SGT Nagar,5,6,11,28.745,77.15,mapped/project geocode,
14,Akshardham Mandir,NH-24,5,5,10,28.612,77.277,789.7,507.2,East,2023,false,false,,,,true,3,4,7,false,,,,false,,,,false,,,,true,0,3,3,,,14,Akshardham Mandir,5,5,10,28.612,77.277,mapped/project geocode,
15,Shalimar Bagh,Ring Road,5,5,10,28.703,77.16,605.3,343.8,North-West,2023,false,false,,,,true,2,3,5,false,,,,false,,,,false,,,,true,2,4,6,,,15,Shalimar Bagh,5,5,10,28.703,77.16,mapped/project geocode,
16,Metro Station Haider Pur,Outer Ring Road,5,5,10,28.7145,77.147,584.8,323.1,North-West,2023,true,false,,,,true,2,3,5,false,,,,true,1,4,5,true,2,4,6,false,,,,,,16,Metro Station Haider Pur,5,5,10,28.7145,77.147,mapped/project geocode,
17,Loni Road Crossing,Wazirabad Road,5,5,10,28.705,77.288,807,340.2,North-East,2023,true,true,2,3,5,false,,,,false,,,,true,2,3,5,true,2,3,5,false,,,,,,17,Loni Road Crossing,5,5,10,28.705,77.288,mapped/project geocode,
18,Metro Station Madipur,Rohtak Road,4,5,9,28.679,77.118,539.1,386.9,West,2023,false,true,2,3,5,false,,,,false,,,,false,,,,true,4,3,7,false,,,,,,18,Metro Station Madipur,5,4,9,28.679,77.118,mapped/project geocode,
19,Raja Harishchander Hospital,DSIIDC Narela Road,2,5,7,28.799,77.086,488.7,171.4,Outer North,2023,true,false,,,,true,1,4,5,false,,,,true,1,3,4,false,,,,true,2,3,5,,,19,Raja Harishchander Hospital,5,2,7,28.799,77.086,mapped/project geocode,
20,Shamshan Ghat Punjabi Bagh,Ring Road,2,5,7,28.666,77.13,558,410.2,West,2023,false,false,,,,true,2,3,5,false,,,,false,,,,false,,,,true,1,4,5,,,20,Shamshan Ghat Punjabi Bagh,5,2,7,28.666,77.13,mapped/project geocode,
21,Haryana Maitri Bhawan,Road No. 43,1,5,6,28.692,77.152,592.7,363.5,North-West,2023,false,false,,,,true,0,3,3,false,,,,false,,,,true,1,3,4,false,,,,,,21,Haryana Maitri Bhawan,5,1,6,28.692,77.152,mapped/project geocode,
22,Shastri Park / IT Park,G.T. Road,20,4,24,28.6725,77.252,750.3,398.6,North-East,2023,false,false,,,,true,8,2,10,true,5,1,6,false,,,,true,11,2,13,true,9,2,11,,,22,Shastri Park / IT Park,4,20,24,28.6725,77.252,mapped/project geocode,
23,Rajouri Garden,Ring Road,12,4,16,28.649,77.123,547,440.8,West,2023,false,false,,,,true,4,3,7,true,1,3,4,false,,,,false,,,,false,,,,,,23,Rajouri Garden,4,12,16,28.649,77.123,mapped/project geocode,
24,Swaroop Nagar,GTK Road,10,4,14,28.749,77.165,613.2,261.2,Outer North,2023,false,false,,,,false,,,,true,3,1,4,false,,,,false,,,,true,7,4,11,,,24,Swaroop Nagar,4,10,14,28.749,77.165,mapped/project geocode,
25,Modi Mill Flyover,Outer Ring Road,10,4,14,28.552,77.265,770.8,614.9,South-East,2023,false,false,,,,true,1,3,4,false,,,,false,,,,false,,,,true,4,3,7,,,25,Modi Mill Flyover,4,10,14,28.552,77.265,mapped/project geocode,
26,Punjabi Bagh Chowk,Ring Road,9,4,13,28.672,77.132,561.1,399.4,West,2023,true,false,,,,false,,,,false,,,,true,3,4,7,false,,,,true,2,3,5,,,26,Punjabi Bagh Chowk,4,9,13,28.672,77.132,mapped/project geocode,
27,Metro Station Shivaji Park,Rohtak Road,7,4,11,28.678,77.13,558,388.7,West,2023,true,false,,,,false,,,,false,,,,true,2,3,5,false,,,,false,,,,,,27,Metro Station Shivaji Park,4,7,11,28.678,77.13,mapped/project geocode,
28,Kingsway Camp Chowk,Ring Road,6,4,10,28.698,77.2,668.3,352.8,North-West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,4,5,,,28,Kingsway Camp Chowk,4,6,10,28.698,77.2,mapped/project geocode,
29,Round About Paharganj,Rani Jhansi Road,6,4,10,28.644,77.21,684.1,449.7,Central,2023,true,false,,,,false,,,,false,,,,true,0,3,3,false,,,,true,4,4,8,,,29,Round About Paharganj,4,6,10,28.644,77.21,mapped/project geocode,
30,West Enclave Red Light,Outer Ring Road,5,4,9,28.685,77.098,507.6,376.1,Outer,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,30,West Enclave Red Light,4,5,9,28.685,77.098,mapped/project geocode,
31,Azadpur Sabzi Mandi,GTK Road,5,4,9,28.712,77.174,627.3,327.6,North-West,2023,true,false,,,,false,,,,false,,,,true,1,3,4,false,,,,false,,,,,,31,Azadpur Sabzi Mandi,4,5,9,28.712,77.174,mapped/project geocode,
32,Tilak Nagar Flyover,Najafgarh Road,5,4,9,28.636,77.096,504.4,464.1,West,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,1,3,4,,,32,Tilak Nagar Flyover,4,5,9,28.636,77.096,mapped/project geocode,
33,Nathu Colony Chowk Nand Nagri,Road No. 68,4,4,8,28.688,77.31,841.7,370.7,Shahdara,2023,false,false,,,,false,,,,false,,,,false,,,,true,4,3,7,false,,,,,,33,Nathu Colony Chowk Nand Nagri,4,4,8,28.688,77.31,mapped/project geocode,
34,Dabri Flyover,Pankha Road,3,4,7,28.611,77.087,490.2,509,Dwarka,2023,false,true,0,3,3,false,,,,false,,,,false,,,,true,2,3,5,false,,,,,,34,Dabri Flyover,4,3,7,28.611,77.087,mapped/project geocode,
35,Saraswati Vihar Bus Stand,Outer Ring Road,3,4,7,28.696,77.123,547,356.3,Outer,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,2,3,5,,,35,Saraswati Vihar Bus Stand,4,3,7,28.696,77.123,mapped/project geocode,
36,District Center Janakpuri,Najafgarh Road,3,4,7,28.629,77.078,476,476.7,West,2023,true,false,,,,true,3,3,6,false,,,,true,2,3,5,false,,,,false,,,,,,36,District Center Janakpuri,4,3,7,28.629,77.078,mapped/project geocode,
37,Nangli Poona,GTK Road,3,4,7,28.761,77.143,578.5,239.6,Outer North,2023,true,true,1,3,4,false,,,,false,,,,true,0,3,3,false,,,,false,,,,,,37,Nangli Poona,4,3,7,28.761,77.143,mapped/project geocode,
38,CNG Pump / Jain Mandir NH-1,GTK Road,2,4,6,28.74,77.158,602.1,277.3,Outer North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,0,3,3,,,38,CNG Pump / Jain Mandir NH-1,4,2,6,28.74,77.158,mapped/project geocode,
39,Toll Plaza Badarpur,Mathura Road,2,4,6,28.497,77.304,832.2,713.7,South-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,39,Toll Plaza Badarpur,4,2,6,28.497,77.304,mapped/project geocode,
40,Round About Seemapuri,Road No. 68,1,4,5,28.682,77.319,855.9,381.5,Shahdara,2023,false,true,0,3,3,false,,,,false,,,,false,,,,true,0,3,3,false,,,,,,40,Round About Seemapuri,4,1,5,28.682,77.319,mapped/project geocode,
41,Peeragarhi Chowk,Outer Ring Road,13,3,16,28.6775,77.092,498.1,389.6,Outer,2023,false,true,5,3,8,false,,,,false,,,,false,,,,false,,,,false,,,,,,41,Peeragarhi Chowk,3,13,16,28.6775,77.092,mapped/project geocode,
42,Khajoori Chowk,Wazirabad Road,11,3,14,28.712,77.262,766,327.6,North-East,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,42,Khajoori Chowk,3,11,14,28.712,77.262,mapped/project geocode,
43,Madhuban Chowk,Outer Ring Road,11,3,14,28.704,77.122,545.4,342,Rohini,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,false,,,,,,43,Madhuban Chowk,3,11,14,28.704,77.122,mapped/project geocode,
44,Udyog Nagar,Rohtak Road,10,3,13,28.682,77.08,479.2,381.5,Outer,2023,false,false,,,,true,6,3,9,false,,,,false,,,,true,8,2,10,false,,,,,,44,Udyog Nagar,3,10,13,28.682,77.08,mapped/project geocode,
45,Wazirabad,Outer Ring Road,10,3,13,28.711,77.227,710.9,329.4,North,2023,false,false,,,,false,,,,false,,,,false,,,,false,,,,true,3,3,6,,,45,Wazirabad,3,10,13,28.711,77.227,mapped/project geocode,
