rank,name,road,simple,fatal,total,year,cctvPriorityCandidate,pedestrian_crash_prone,pedestrian_simple_crashes,pedestrian_fatal_crashes,pedestrian_total_crashes,two_wheeler_crash_prone,two_wheeler_simple_crashes,two_wheeler_fatal_crashes,two_wheeler_total_crashes,htv_crash_prone,htv_simple_crashes,htv_fatal_crashes,htv_total_crashes,hit_and_run_crash_prone,hit_and_run_simple_crashes,hit_and_run_fatal_crashes,hit_and_run_total_crashes,day_time_crash_prone,day_time_simple_crashes,day_time_fatal_crashes,day_time_total_crashes,night_time_crash_prone,night_time_simple_crashes,night_time_fatal_crashes,night_time_total_crashes,blackspot_persons_killed,blackspot_persons_injured,lat,lng,x,y,district,geocodeSource,record_id,location,fatal_crashes,simple_crashes,total_crashes,latitude,longitude,coordinate_status,source_record
1,Azadpur Sabzi Mandi,GTK Road,9,11,20,2024,true,true,4,7,11,true,4,4,8,true,3,5,8,true,3,4,7,true,5,5,10,true,4,6,10,11,9,28.712,77.174,627.3,327.6,North-West,matched to 2023 geocoded zone by name,1,Azadpur Sabzi Mandi,11,9,20,28.712,77.174,matched to 2023 geocoded zone by name,
2,Wazirabad,Outer Ring Road,6,9,15,2024,true,false,,,,true,4,7,11,false,,,,true,3,5,8,true,4,4,8,true,2,5,7,10,7,28.711,77.227,710.9,329.4,North,matched to 2023 geocoded zone by name,2,Wazirabad,9,6,15,28.711,77.227,matched to 2023 geocoded zone by name,
3,Akshardham Mandir,NH-24,11,8,19,2024,true,false,,,,true,4,6,10,false,,,,true,4,4,8,true,8,4,12,true,3,4,7,8,14,28.612,77.277,789.7,507.2,East,matched to 2023 geocoded zone by name,3,Akshardham Mandir,8,11,19,28.612,77.277,matched to 2023 geocoded zone by name,
4,ISBT Kashmiri Gate,Ring Road,9,8,17,2024,true,true,5,7,12,false,,,,false,,,,true,1,6,7,true,5,3,8,true,4,5,9,8,11,28.6679,77.2284,713.1,406.8,North,matched to 2023 geocoded zone by name,4,ISBT Kashmiri Gate,8,9,17,28.6679,77.2284,matched to 2023 geocoded zone by name,
5,Anand Vihar ISBT,Road No.56,8,8,16,2024,true,true,5,7,12,false,,,,false,,,,true,0,3,3,false,,,,true,6,6,12,8,13,28.6465,77.316,851.1,445.2,East,matched to 2023 geocoded zone by name,5,Anand Vihar ISBT,8,8,16,28.6465,77.316,matched to 2023 geocoded zone by name,
6,SGT Nagar,GTK Road,11,7,18,2024,true,false,,,,true,7,4,11,false,,,,true,5,4,9,true,5,4,9,true,6,3,9,8,16,28.745,77.15,589.5,268.4,Outer North,matched to 2023 geocoded zone by name,6,SGT Nagar,7,11,18,28.745,77.15,matched to 2023 geocoded zone by name,
7,Rajoukari Flyover,NH-8,9,7,16,2024,true,false,,,,true,3,4,7,false,,,,true,2,4,6,false,,,,true,5,6,11,7,14,,,,,,unresolved,7,Rajoukari Flyover,7,9,16,,,unresolved,
8,Near Yashobhoomi Convention Centre Dwarka,UER II,5,7,12,2024,false,false,,,,true,2,3,5,false,,,,false,,,,false,,,,true,3,6,9,7,7,,,,,,unresolved,8,Near Yashobhoomi Convention Centre Dwarka,7,5,12,,,unresolved,
9,Bhalswa Chowk,Outer Ring Road,13,6,19,2024,false,false,,,,true,8,3,11,false,,,,false,,,,true,8,4,12,false,,,,6,17,28.736,77.17,621,284.5,North-West,matched to 2023 geocoded zone by name,9,Bhalswa Chowk,6,13,19,28.736,77.17,matched to 2023 geocoded zone by name,
10,Libaspur Bus Stand,GTK Road,12,6,18,2024,true,true,6,3,9,false,,,,true,1,3,4,true,5,3,8,true,10,2,12,true,2,4,6,6,18,28.742,77.153,594.2,273.7,Outer North,matched to 2023 geocoded zone by name,10,Libaspur Bus Stand,6,12,18,28.742,77.153,matched to 2023 geocoded zone by name,
