rank,name,road,simpleCrashes,fatalCrashes,totalCrashes,lat,lng,geocoded
1,ISBT Kashmiri Gate,Ring Road,12,7,19,28.6679,77.2284,true
2,Mukarba Chowk,GTKRoad,11,7,18,28.7373,77.1598,true
3,Libaspur Bus Stand,GTKRoad,11,7,18,28.742,77.153,true
4,,Boulevard Road,12,6,18,28.6651,77.221,true
5,Britannia Chowk,Ring Road,9,6,15,28.6946,77.1396,true
6,Burari Chowk,Outer Ring Road,8,6,14,28.74,77.195,true
7,Bhalswa Chowk,Outer Ring Road,5,6,11,28.736,77.17,true
8,Wazir Pur Depot,Ring Road,4,6,10,28.693,77.152,true
9,Round About Mori Gate,Hamilton Road,2,6,8,28.6635,77.2215,true
10,Gandhi Vihar Bus Stand,Outer Ring Road,11,5,16,28.718,77.206,true
11,Anand Vihar lsbt,Road No.56,11,5,16,28.6465,77.316,true
12,Okhla Mandi,Captain Gaud Marg,6,5,11,28.553,77.264,true
13,SgtNagar,GTKRoad,6,5,11,28.745,77.15,true
14,Akshardham Mandir,NH-24,5,5,10,28.612,77.277,true
15,Shalimar Bogh,Ring Road,5,5,10,28.703,77.16,true
16,Metro Station Haider Pur,Outer Ring Road,5,5,10,28.7145,77.147,true
17,Loni Road Crossing,Wazirabad Road,5,5,10,28.705,77.288,true
18,Metro Station Madipur,Rohtak Road,4,5,9,28.679,77.118,true
19,Raja Harishchander Hospital,OSI/DC Nore/a Road,2,5,7,28.799,77.086,true
20,Shamshan Ghat Punjabi Bogh,Ring Road,2,5,7,28.666,77.13,true
21,Haryana Maitri Bhawan,Road No43,1,5,6,28.692,77.152,true
22,Shastri Park/It Park,G.T.Road,20,4,24,28.6725,77.252,true
23,Rajouri Garden,Ring Road,12,4,16,28.649,77.123,true
24,Swaroop Nagar,GTKRoad,10,4,14,28.749,77.165,true
25,Modi Mill Flyover,Outer Ring Road,10,4,14,28.552,77.265,true
26,Punjabi Bogh Chowk,Ring Road,9,4,13,28.672,77.132,true
27,Metro Station Shivaji Park,Rohtak Road,7,4,11,28.678,77.13,true
28,Kings Way Camp Chowk,Ring Road,6,4,10,28.698,77.2,true
29,Round About Paharganj,Rani Jhansi Road,6,4,10,28.644,77.21,true
30,West Enclave Red Light,Outer Ring Road,5,4,9,28.685,77.098,true
31,Azadpur Sabzi Mandi,GTKRoad,5,4,9,28.712,77.174,true
32,Ti/ak Nagar Flyover,Najafgarh Road,5,4,9,28.636,77.096,true
33,Nathu Colony Chowk Nand Nagri,Road No 68,4,4,8,28.688,77.31,true
34,Dabri Flyover,Pankha Road,3,4,7,28.611,77.087,true
35,Saraswati Vihar Bus Stand,Outer Ring Road,3,4,7,28.696,77.123,true
36,District Center Janakpuri,Najafgarh Road,3,4,7,28.629,77.078,true
37,Nangli Poona,GTKRoad,3,4,7,28.761,77.143,true
38,Cng Pumpl}ain Mandir NH-1,GTKRoad,2,4,6,28.74,77.158,true
39,Toll Plaza Badarpur,Mathura Road,2,4,6,28.497,77.304,true
40,Round About Seemapuri,Road No 68,1,4,5,28.682,77.319,true
41,Peeragarhi Chowk,Outer Ring Road,13,3,16,28.6775,77.092,true
42,Khajoori Chowk,Wazirabad Road,11,3,14,28.712,77.262,true
43,Madhuban Chowk,Outer Ring Road,11,3,14,28.704,77.122,true
44,UdyogNagar,Rohtak Road,10,3,13,28.682,77.08,true
45,Wazirabad,Outer Ring Road,10,3,13,28.711,77.227,true
46,Mukundpur Chowk,Outer Ring Road,10,3,13,28.73,77.185,true
47,Maya Puri Chowk,Ring Road,9,3,12,28.629,77.125,true
48,Shani Mandir Nh-1,GTKRoad,9,3,12,28.738,77.16,true
49,Ber Sarai Flyover,Outer Ring Road,9,3,12,28.539,77.182,true
50,Sagarpur Bus Stand,Pankha Road,9,3,12,28.599,77.088,true
51,Kanhiya Nagar Metro Station,VIR Banda Bairagi Mr,9,3,12,28.682,77.165,true
52,Metro Station Welcome,G.T.Road,8,3,11,28.672,77.277,true
53,Dtc Bus Depot Nand Nagri,Wazirabad Road,8,3,11,28.696,77.315,true
54,Sai Baba Mandir Nh-1,GTKRoad,7,3,10,28.741,77.157,true
55,Lado Sarai Crossing,Mehrauli Badarpur Rd,7,3,10,28.524,77.195,true
56,Shaheen Bagh Road No-13a,Road No 13a,7,3,10,28.546,77.301,true
57,Ti/ak Pu/ Dabri,Pankha Road,6,3,9,28.608,77.088,true
58,Tikri Khurd Bus Stand,GTKRoad,6,3,9,28.818,77.121,true
59,Kalkaji Mandir,Outer Ring Road,5,3,8,28.549,77.259,true
60,Rajghat,Ring Road,5,3,8,28.64,77.247,true
61,Deepali Chowk,Outer Ring Road,5,3,8,28.698,77.121,true
62,Metro Station Paschim Vihar,Rohtak Road,5,3,8,28.679,77.106,true
63,IT/ Dheerpur,Outer Ring Road,5,3,8,28.716,77.197,true
64,Nigam Bodh Ghat,Ring Road,4,3,7,28.665,77.234,true
65,Metro Station lnderlok,VIR Banda Bairagi Mr,4,3,7,28.673,77.17,true
66,Keshopur T Point,Outer Ring Road,4,3,7,28.643,77.082,true
67,Mundka,Rohtak Road,4,3,7,28.683,77.026,true
68,Metro Station Ramesh Nagar,Najafgarh Road,4,3,7,28.652,77.131,true
69,Rtr Flyover Vasant Vihar,Outer Ring Road,4,3,7,28.558,77.16,true
70,OSI/DC Red Light NH-1,GTKRoad,4,3,7,28.751,77.151,true
71,Adarsh Nagar,GTKRoad,4,3,7,28.716,77.172,true
72,Arsd College Ring Road,Ring Road,3,3,6,28.582,77.163,true
73,Sarai Kale Khan,Ring Road,3,3,6,28.587,77.261,true
74,Round About Okh/a Estate,Anand Mai Marg,3,3,6,28.536,77.275,true
75,Anand Vihar Railway Flyover,Road No.56,3,3,6,28.648,77.315,true
76,Vijay Vihar Rohini,Rithala Road,3,3,6,28.729,77.098,true
77,Delhi Cantt Flyover,Jail Road,2,3,5,28.599,77.115,true
78,Shakarpur Red Light,Yamuna Pusta Road,2,3,5,28.628,77.279,true
79,Geeta Colony Flyover,Yamuna Pusta Road,2,3,5,28.645,77.26,true
80,Loha Mandi,Girdhari Lal Marg,1,3,4,28.636,77.135,true
81,Siraspur,GTKRoad,1,3,4,28.75,77.142,true
82,Janak Puri East,Najafgarh Road,1,3,4,28.627,77.086,true
83,Mayur Vihar Extension,Naida Link Road,1,3,4,28.594,77.294,true
84,Pu/ Mithai Spm Marg,SPM Marg,1,3,4,28.66,77.215,true
85,Paper Market Gajipur,Paper Market Road,1,3,4,28.631,77.319,true
86,Goy/a Village Najafgarh,Goy/a Dairy Road,1,3,4,28.587,76.994,true
87,Near Haldi Ram Wazirpur,Ring Road,0,3,3,28.691,77.15,true
88,Surya Nagar Red Light,Road No.56,0,3,3,28.668,77.324,true
89,lg Indoor Stadium,Ring Road,13,2,15,28.63,77.249,true
90,Seelampur T Point,G.T.Road,13,2,15,28.67,77.266,true
91,Moti Bagh Flyover,Ring Road,12,2,14,28.585,77.171,true
92,Ashram Chowk,Ring Road,12,2,14,28.572,77.256,true
93,Shakarpur Chungi,Vikas Marg,11,2,13,28.631,77.279,true
94,Dhaula Kuan,Ring Road,10,2,12,28.592,77.162,true
