district,areaSqKm,population,theft2022,theft,theft2024,robbery2022,robbery,robbery2024,burglary2022,burglary,burglary2024,totalIPC2022,totalIPC,totalIPC2024,crimeAgainstWomen2022,crimeAgainstWomen,crimeAgainstWomen2024,totalSLL2022,totalSLL,totalSLL2024,fatalRoadCrashes2022,hitAndRunCrashes2022,crashProneZones2023,simpleCrashes2023,fatalCrashes2023,totalCrashes2023,surveyPoints,totalLights,lightDensityPerKm2,underpasses,underpassDensity,metroGates,metroGateDensity,policeStations,chowkiPosts,policeInfraCount,policeInfraDensity,busStops,busStopDensity,atms,atmDensity,alcoholShops,alcoholShopDensity,surveillanceCameras,surveillanceDensity
Central,27.8,580000,9370,9697,6770,93,88,131,317,324,352,17566,18567,13690,625,587,541,663,829,910,143,84,3,24,9,33,5139,8173,293.5,35,1.26,46,1.65,19,10,29,1.04,189,6.8,38,1.37,6,0.22,15,0.54
Dwarka,273.4,1100000,16581,17856,12082,172,173,96,765,699,1089,22580,23346,17317,1411,1329,1177,1731,1781,1641,132,75,2,11,5,16,0,0,0,0,0,34,0.12,13,7,20,0.07,135,0.49,31,0.11,2,0.01,2,0.01
East,41.8,1710000,14828,15169,13510,121,99,79,513,568,759,20785,21875,19711,840,709,766,783,794,900,104,64,8,43,25,68,746,1703,40.8,37,0.89,43,1.03,13,3,16,0.38,329,7.87,81,1.94,6,0.14,113,2.7
New Delhi,36.1,142000,1350,1436,1142,9,19,11,24,29,28,2681,2784,2385,103,93,98,84,86,65,187,104,1,10,0,10,5018,8671,240,40,1.11,49,1.36,13,12,25,0.69,286,7.92,61,1.69,5,0.14,119,3.3
North,66.4,890000,14023,18450,15084,150,154,148,503,605,688,20790,27193,24275,734,638,621,1025,991,1059,260,150,12,86,48,134,3658,6844,103,29,0.44,30,0.45,19,10,29,0.44,247,3.72,47,0.71,0,0,34,0.51
North-East,49.9,2240000,19364,19610,16434,195,110,117,274,403,404,26164,26663,22786,1156,1176,1145,1779,1318,1719,53,34,7,69,24,93,2,2,0,0,0,2,0.04,16,4,20,0.4,63,1.26,5,0.1,0,0,0,0
North-West,41.2,1500000,18480,21436,17357,114,120,142,234,280,358,27575,28431,24329,786,803,748,1614,1492,1718,150,82,13,83,57,140,0,0,0,0,0,33,0.8,14,7,21,0.51,150,3.64,36,0.87,3,0.07,1,0.02
Outer,82.9,1050000,15120,14716,13432,151,91,129,613,524,926,23759,23750,21699,1054,1063,1179,1697,1929,2081,,,9,57,31,88,0,0,0,0,0,1,0.01,12,0,12,0.14,51,0.62,3,0.04,0,0,0,0
Outer North,261.9,800000,9044,10129,8316,183,168,136,332,361,665,14195,15993,14316,1167,1215,1216,1430,1353,1754,,,11,61,44,105,0,0,0,0,0,5,0.02,9,4,13,0.05,72,0.27,8,0.03,0,0,2,0.01
Rohini,133.2,1020000,12058,13042,10023,112,83,59,433,449,672,18158,18264,16479,1109,882,883,1135,1188,1562,,,1,3,3,6,0,0,0,0,0,8,0.06,12,2,14,0.11,66,0.5,11,0.08,2,0.02,10,0.08
Shahdara,26.9,1490000,11122,9968,8128,88,145,71,360,401,333,15818,15210,13982,850,903,808,1177,584,1179,92,63,3,3,10,13,1523,2380,88.4,32,1.19,5,0.19,12,7,19,0.71,89,3.31,20,0.74,3,0.11,2,0.07
South,160.5,1390000,15243,17800,11868,116,98,67,348,434,423,21155,24309,18913,1253,1073,1227,1593,1840,1588,65,36,1,7,3,10,3957,6941,43.2,15,0.09,58,0.36,20,8,28,0.17,485,3.02,125,0.78,12,0.07,33,0.21
South-East,82,1420000,17144,19591,16299,111,127,96,650,658,841,23833,25732,22363,1284,1166,1280,1793,2152,1988,150,96,9,63,27,90,7560,15321,186.8,99,1.21,48,0.59,19,8,27,0.33,311,3.79,74,0.9,5,0.06,85,1.04
South-West,124.5,1070000,7461,7594,5388,58,53,68,352,452,492,12522,12083,9899,790,702,716,1195,1196,1139,,,9,66,21,87,10586,22310,179.1,119,0.96,59,0.47,13,11,24,0.19,469,3.77,92,0.74,6,0.05,15,0.12
West,64.7,1740000,18360,21084,12997,121,99,128,467,724,926,24303,27606,19383,957,904,825,1383,1465,1762,158,97,18,111,59,170,778,1106,17.1,9,0.14,38,0.59,16,7,23,0.36,209,3.23,17,0.26,0,0,2,0.03
